Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,60.00,20,60.00,15,75.00,12,100.00,2
2016-11-02,58.33,12,50.00,10,55.56,9,0.00,2
2016-11-03,70.59,17,75.00,12,87.50,8,100.00,3
2016-11-04,47.62,21,47.06,17,50.00,14,75.00,4
2016-11-05,70.00,10,66.67,9,62.50,8,0.00,1
2016-11-06,57.14,7,60.00,5,75.00,4,0.00,1
2016-11-07,61.54,26,70.59,17,71.43,14,50.00,2
2016-11-08,50.00,14,54.55,11,50.00,10,0.00,2
2016-11-09,48.00,25,50.00,22,64.29,14,100.00,3
2016-11-10,81.82,11,77.78,9,83.33,6,100.00,2
2016-11-11,70.00,10,77.78,9,85.71,7,0.00,1
2016-11-12,75.00,8,85.71,7,80.00,5,100.00,1
2016-11-13,71.43,7,60.00,5,50.00,4,-1,0
2016-11-14,58.82,17,50.00,12,71.43,7,0.00,1
2016-11-15,80.00,25,81.25,16,75.00,12,100.00,3
2016-11-16,48.00,25,35.29,17,21.43,14,100.00,1
2016-11-17,47.62,21,50.00,16,45.45,11,-1,0
2016-11-18,66.67,21,61.11,18,61.54,13,100.00,1
2016-11-19,75.00,8,75.00,8,83.33,6,-1,0
2016-11-20,40.00,5,50.00,2,0.00,1,-1,0
2016-11-21,56.52,23,73.33,15,66.67,12,-1,0
2016-11-22,63.64,22,61.90,21,50.00,16,33.33,6
2016-11-23,62.50,16,64.29,14,70.00,10,100.00,2
2016-11-24,70.00,10,66.67,9,62.50,8,0.00,1
2016-11-25,70.00,10,87.50,8,100.00,6,100.00,2
2016-11-26,83.33,6,83.33,6,80.00,5,100.00,1
2016-11-27,100.00,5,100.00,4,100.00,3,-1,0
2016-11-28,79.17,24,80.00,20,76.47,17,75.00,4
2016-11-29,44.83,29,47.83,23,41.18,17,0.00,1
2016-11-30,40.00,25,38.89,18,30.77,13,100.00,1
2016-12-01,43.24,37,31.03,29,26.32,19,0.00,1
2016-12-02,61.90,21,58.82,17,53.85,13,50.00,2
2016-12-03,90.91,11,90.00,10,87.50,8,100.00,1
2016-12-04,80.00,10,77.78,9,85.71,7,-1,0
2016-12-05,62.07,58,56.25,48,58.82,34,90.00,10
2016-12-06,59.38,32,54.17,24,52.94,17,80.00,5
2016-12-07,62.50,24,60.00,20,58.82,17,100.00,3
2016-12-08,53.57,28,58.82,17,53.85,13,100.00,1
2016-12-09,68.97,29,63.64,22,65.00,20,88.89,9
2016-12-10,75.00,8,85.71,7,75.00,4,0.00,1
2016-12-11,87.50,8,87.50,8,75.00,4,100.00,1
2016-12-12,65.38,26,70.00,20,70.59,17,100.00,6
2016-12-13,75.00,12,75.00,12,62.50,8,66.67,3
2016-12-14,68.18,22,68.18,22,66.67,18,100.00,5
2016-12-15,71.43,14,66.67,12,75.00,8,100.00,2
2016-12-16,61.90,21,60.00,15,37.50,8,33.33,3
2016-12-17,87.50,8,87.50,8,83.33,6,0.00,1
2016-12-18,77.78,9,87.50,8,85.71,7,50.00,2
2016-12-19,54.55,11,55.56,9,62.50,8,0.00,2
2016-12-20,66.67,24,56.25,16,66.67,6,-1,0
2016-12-21,66.67,21,68.42,19,70.59,17,88.89,9
2016-12-22,73.68,19,66.67,15,54.55,11,100.00,1
2016-12-23,46.15,13,41.67,12,45.45,11,100.00,1
2016-12-24,100.00,4,100.00,2,100.00,2,-1,0
2016-12-25,-1,0,-1,0,-1,0,-1,0
2016-12-26,75.00,4,75.00,4,75.00,4,-1,0
2016-12-27,50.00,2,50.00,2,50.00,2,-1,0
2016-12-28,66.67,18,45.45,11,60.00,5,66.67,3
2016-12-29,50.00,8,50.00,8,42.86,7,100.00,1
2016-12-30,55.56,9,33.33,6,20.00,5,0.00,2
2016-12-31,100.00,4,100.00,2,100.00,2,100.00,1
2017-01-01,20.00,5,100.00,1,100.00,1,-1,0
2017-01-02,61.54,13,62.50,8,83.33,6,-1,0
2017-01-03,40.00,50,42.50,40,35.71,28,75.00,4
2017-01-04,35.48,31,22.73,22,22.22,18,50.00,4
2017-01-05,30.56,36,50.00,14,40.00,10,50.00,2
2017-01-06,57.89,38,46.43,28,40.91,22,60.00,5
2017-01-07,100.00,5,100.00,3,100.00,3,100.00,1
2017-01-08,25.00,4,25.00,4,0.00,1,-1,0
2017-01-09,48.00,50,40.48,42,40.62,32,100.00,5
