Date,Close,Diff,Binary
2016-11-01,42.12,,0
2016-11-02,42.05,-0.07,0
2016-11-03,42.03,-0.02,0
2016-11-04,41.69,-0.34,0
2016-11-07,42.46,0.77,4
2016-11-08,42.88,0.42,4
2016-11-09,42.27,-0.61,0
2016-11-10,40.94,-1.33,0
2016-11-11,41.03,0.09,4
2016-11-14,41.17,0.14,4
2016-11-15,41.44,0.27,4
2016-11-16,41.26,-0.18,0
2016-11-17,41.12,-0.14,0
2016-11-18,40.91,-0.21,0
2016-11-21,41.36,0.45,4
2016-11-22,41.37,0.01,4
2016-11-23,41.12,-0.25,0
2016-11-25,41.53,0.41,4
2016-11-28,41.75,0.22,4
2016-11-29,41.15,-0.6,0
2016-11-30,40.35,-0.8,0
2016-12-01,40.17,-0.18,0
2016-12-02,40.36,0.19,4
2016-12-05,40.62,0.26,4
2016-12-06,40.57,-0.05,0
2016-12-07,41.29,0.72,4
2016-12-08,40.98,-0.31,0
2016-12-09,42.0,1.02,4
2016-12-12,41.9,-0.1,0
2016-12-13,41.76,-0.14,0
2016-12-14,41.21,-0.55,0
2016-12-15,41.55,0.34,4
2016-12-16,41.74,0.19,4
2016-12-19,41.67,-0.07,0
2016-12-20,41.66,-0.01,0
2016-12-21,41.57,-0.09,0
2016-12-22,41.55,-0.02,0
2016-12-23,41.6,0.05,4
2016-12-27,41.61,0.01,4
2016-12-28,41.39,-0.22,0
2016-12-29,41.6,0.21,4
2016-12-30,41.46,-0.14,0
2017-01-03,41.8,0.34,4
2017-01-04,41.65,-0.15,0
2017-01-05,41.75,0.1,4
2017-01-06,41.74,-0.01,0
2017-01-09,41.32,-0.42,0
2017-01-10,41.04,-0.28,0
2017-01-11,41.05,0.01,4
2017-01-12,40.95,-0.1,0
2017-01-13,40.88,-0.07,0
2017-01-17,41.22,0.34,4
2017-01-18,41.29,0.07,4
2017-01-19,41.14,-0.15,0
2017-01-20,41.32,0.18,4
2017-01-23,41.43,0.11,4
2017-01-24,41.9,0.47,4
2017-01-25,42.12,0.22,4
2017-01-26,41.81,-0.31,0
2017-01-27,41.45,-0.36,0
2017-01-30,41.38,-0.07,0
2017-01-31,41.57,0.19,4
2017-02-01,41.26,-0.31,0
2017-02-02,41.4,0.14,4
2017-02-03,41.54,0.14,4
2017-02-06,41.56,0.02,4
2017-02-07,41.9,0.34,4
2017-02-08,42.02,0.12,4
2017-02-09,41.25,-0.77,0
2017-02-10,40.58,-0.67,0
2017-02-13,40.62,0.04,4
2017-02-14,40.53,-0.09,0
2017-02-15,40.44,-0.09,0
2017-02-16,41.2,0.76,4
2017-02-17,41.23,0.03,4
2017-02-21,41.46,0.23,4
2017-02-22,41.6,0.14,4
2017-02-23,41.66,0.06,4
2017-02-24,41.78,0.12,4
2017-02-27,41.67,-0.11,0
2017-02-28,41.96,0.29,4
2017-03-01,42.16,0.2,4
2017-03-02,42.47,0.31,4
2017-03-03,42.48,0.01,4
2017-03-06,42.18,-0.3,0
2017-03-07,41.99,-0.19,0
2017-03-08,41.99,0.0,0
2017-03-09,42.03,0.04,4
2017-03-10,42.29,0.26,4
2017-03-13,42.03,-0.26,0
2017-03-14,41.97,-0.06,0
2017-03-15,42.12,0.15,4
2017-03-16,42.25,0.13,4
2017-03-17,42.03,-0.22,0
2017-03-20,42.18,0.15,4
2017-03-21,42.5,0.32,4
2017-03-22,42.38,-0.12,0
2017-03-23,42.17,-0.21,0
2017-03-24,42.12,-0.05,0
2017-03-27,42.32,0.2,4
2017-03-28,42.43,0.11,4
2017-03-29,42.42,-0.01,0
2017-03-30,42.6,0.18,4
2017-03-31,42.44,-0.16,0
2017-04-03,42.41,-0.03,0
2017-04-04,42.68,0.27,4
2017-04-05,42.57,-0.11,0
2017-04-06,42.67,0.1,4
2017-04-07,42.61,-0.06,0
2017-04-10,42.69,0.08,4
2017-04-11,42.66,-0.03,0
2017-04-12,42.94,0.28,4
2017-04-13,42.79,-0.15,0
2017-04-17,43.07,0.28,4
2017-04-18,43.48,0.41,4
2017-04-19,43.23,-0.25,0
2017-04-20,43.09,-0.14,0
2017-04-21,43.07,-0.02,0
2017-04-24,43.28,0.21,4
2017-04-25,43.11,-0.17,0
2017-04-26,43.24,0.13,4
2017-04-27,43.01,-0.23,0
2017-04-28,43.15,0.14,4
2017-05-01,43.22,0.07,4
2017-05-02,43.39,0.17,4
2017-05-03,43.32,-0.07,0
2017-05-04,43.66,0.34,4
2017-05-05,43.69,0.03,4
2017-05-08,43.89,0.2,4
2017-05-09,43.51,-0.38,0
2017-05-10,43.57,0.06,4
2017-05-11,43.67,0.1,4
2017-05-12,43.59,-0.08,0
2017-05-15,43.73,0.14,4
2017-05-16,43.85,0.12,4
2017-05-17,43.93,0.08,4
2017-05-18,43.8,-0.13,0
2017-05-19,43.9,0.1,4
2017-05-22,44.18,0.28,4
2017-05-23,44.39,0.21,4
2017-05-24,45.03,0.64,4
2017-05-25,45.41,0.38,4
2017-05-26,45.39,-0.02,0
2017-05-30,45.43,0.04,4
2017-05-31,45.47,0.04,4
2017-06-01,45.79,0.32,4
2017-06-02,45.89,0.1,4
2017-06-05,45.99,0.1,4
2017-06-06,45.98,-0.01,0
2017-06-07,45.51,-0.47,0
2017-06-08,45.13,-0.38,0
2017-06-09,45.32,0.19,4
2017-06-12,45.33,0.01,4
2017-06-13,45.03,-0.3,0
2017-06-14,45.3,0.27,4
2017-06-15,45.25,-0.05,0
2017-06-16,45.31,0.06,4
2017-06-19,45.38,0.07,4
2017-06-20,45.61,0.23,4
2017-06-21,45.22,-0.39,0
2017-06-22,45.07,-0.15,0
2017-06-23,45.25,0.18,4
2017-06-26,45.43,0.18,4
2017-06-27,45.05,-0.38,0
2017-06-28,45.32,0.27,4
2017-06-29,44.83,-0.49,0
2017-06-30,44.85,0.02,4
2017-07-03,44.76,-0.09,0
2017-07-05,44.82,0.06,4
2017-07-06,44.4,-0.42,0
2017-07-07,44.39,-0.01,0
2017-07-10,44.38,-0.01,0
2017-07-11,44.33,-0.05,0
2017-07-12,44.51,0.18,4
2017-07-13,44.43,-0.08,0
2017-07-14,44.68,0.25,4
2017-07-17,44.73,0.05,4
2017-07-18,44.67,-0.06,0
2017-07-19,44.83,0.16,4
2017-07-20,44.82,-0.01,0
2017-07-21,45.03,0.21,4
2017-07-24,44.84,-0.19,0
2017-07-25,45.24,0.4,4
2017-07-26,45.74,0.5,4
2017-07-27,46.12,0.38,4
2017-07-28,46.01,-0.11,0
2017-07-31,45.84,-0.17,0
2017-08-01,45.7,-0.14,0
2017-08-02,45.59,-0.11,0
2017-08-03,45.67,0.08,4
