Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,54.32,2837,54.48,2478,54.53,2096
2016-11-02,53.52,2631,54.07,2334,53.98,1973
2016-11-03,53.01,2839,53.06,2499,54.09,2137
2016-11-04,54.35,2839,54.82,2512,55.20,2098
2016-11-05,54.58,3001,55.59,2637,56.97,2254
2016-11-06,52.77,3248,53.10,2838,53.00,2413
2016-11-07,53.60,2595,54.11,2262,54.53,1889
2016-11-08,53.28,3067,53.30,2653,53.12,2261
2016-11-09,54.85,3143,55.41,2738,55.44,2345
2016-11-10,53.98,2514,54.93,2192,55.95,1875
2016-11-11,55.51,2787,55.71,2445,56.32,2072
2016-11-12,56.48,2776,57.25,2421,57.79,2066
2016-11-13,53.99,3160,54.16,2764,54.47,2306
2016-11-14,55.69,1528,56.28,1329,56.42,1152
2016-11-15,54.73,2609,55.51,2270,55.51,1951
2016-11-16,54.33,2689,55.09,2356,55.92,2017
2016-11-17,53.68,2770,53.57,2395,53.29,2051
2016-11-18,55.98,2817,55.98,2467,56.58,2098
2016-11-19,55.39,2896,55.53,2523,56.09,2136
2016-11-20,54.47,3086,54.82,2674,55.94,2265
2016-11-21,54.01,2655,54.41,2338,55.11,1985
2016-11-22,53.14,2817,53.76,2422,54.49,2094
2016-11-23,53.99,2986,54.40,2638,54.71,2206
2016-11-24,54.40,2899,54.78,2532,55.02,2132
2016-11-25,57.13,2454,57.80,2154,58.08,1806
2016-11-26,54.39,2802,55.51,2450,55.89,2072
2016-11-27,53.77,3091,54.20,2688,54.90,2275
2016-11-28,55.10,2227,55.34,1957,55.12,1671
2016-11-29,50.24,1903,49.73,1655,49.90,1445
2016-11-30,51.00,1304,51.24,1167,50.96,993
2016-12-01,52.34,1941,52.67,1705,53.30,1454
2016-12-02,56.11,2039,56.89,1784,57.35,1517
2016-12-03,54.05,2936,54.18,2545,54.14,2161
2016-12-04,53.03,3051,53.40,2678,54.29,2214
2016-12-05,53.40,2532,53.47,2231,54.31,1913
2016-12-06,54.33,1964,54.99,1724,55.52,1448
2016-12-07,54.46,2670,54.56,2333,55.99,1988
2016-12-08,53.79,2095,54.27,1874,53.28,1586
2016-12-09,54.85,2259,54.94,1993,56.65,1693
2016-12-10,54.63,2929,55.29,2601,56.02,2226
2016-12-11,53.90,2024,55.56,1764,56.05,1497
2016-12-12,50.77,1688,52.04,1447,51.91,1256
2016-12-13,56.63,1381,58.14,1223,59.17,1058
2016-12-14,54.99,1815,55.32,1589,55.90,1356
2016-12-15,56.43,2791,57.93,2441,57.49,2035
2016-12-16,54.89,2707,56.26,2355,56.74,2009
2016-12-17,54.84,2095,55.12,1845,55.66,1581
2016-12-18,55.15,1661,54.99,1462,55.79,1278
2016-12-19,55.28,2160,56.66,1862,57.58,1617
2016-12-20,53.64,2580,53.11,2252,52.73,1889
2016-12-21,54.67,2689,55.92,2305,56.17,1960
2016-12-22,56.19,2835,56.92,2500,57.43,2121
2016-12-23,54.75,2844,55.83,2504,55.41,2070
2016-12-24,55.66,2729,56.28,2379,55.51,1987
2016-12-25,54.24,1816,55.22,1601,54.22,1339
2016-12-26,53.00,2185,53.31,1936,52.23,1637
2016-12-27,51.83,2672,52.11,2347,51.69,1948
2016-12-28,54.02,2784,54.38,2433,54.55,2079
2016-12-29,55.60,2885,56.91,2495,57.44,2145
2016-12-30,54.23,2825,54.62,2481,54.59,2125
2016-12-31,54.96,2440,56.31,2101,56.70,1762
2017-01-01,55.34,3880,55.66,3426,55.71,2865
2017-01-02,54.39,2868,54.80,2520,55.80,2181
2017-01-03,55.00,2858,55.18,2488,54.55,2099
2017-01-04,53.77,2797,54.60,2487,54.51,2097
2017-01-05,52.50,2735,52.66,2387,53.35,2030
2017-01-06,55.14,2120,55.52,1866,55.87,1609
2017-01-07,53.92,2680,53.77,2334,54.06,1972
2017-01-08,53.87,2779,54.36,2417,54.73,2039
2017-01-09,56.31,1655,56.46,1470,56.72,1264
2017-01-10,55.69,580,56.03,514,58.78,444
2017-01-11,54.15,1542,54.41,1360,55.35,1140
2017-01-12,54.67,2590,54.29,2260,55.63,1900
2017-01-13,56.83,681,57.88,603,55.80,500
2017-01-14,51.57,1848,53.69,1598,53.41,1348
2017-01-15,53.88,3220,54.64,2793,54.89,2392
2017-01-16,52.96,2092,52.70,1816,54.19,1528
2017-01-17,54.66,2402,54.41,2086,54.88,1784
2017-01-18,54.53,2648,54.15,2338,54.37,1992
2017-01-19,52.36,1629,52.79,1398,53.09,1166
2017-01-20,54.73,2030,54.50,1765,54.42,1483
2017-01-21,73.09,13904,76.72,12257,78.80,10656
2017-01-22,58.92,14045,70.96,10397,72.12,9415
2017-01-23,52.32,14091,68.30,9650,71.84,8444
2017-01-24,46.17,13304,50.54,11402,67.76,7834
2017-01-25,55.48,10104,59.96,8265,66.33,6326
2017-01-26,67.34,12275,72.14,10179,77.05,8515
2017-01-27,59.00,4844,59.78,4625,59.95,4412
2017-01-28,59.00,4844,59.78,4625,59.95,4412
2017-01-29,59.00,4844,59.78,4625,59.95,4412
2017-01-30,68.59,191,68.79,173,69.87,156
2017-01-31,73.19,14288,76.12,12982,75.99,11060
2017-02-01,66.67,192,68.21,173,70.78,154
2017-02-02,63.10,12605,64.06,11260,69.78,9405
2017-02-03,66.28,10665,68.38,9532,70.95,8411
