Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,8.15,8.15,1.67,-0.96
2016-11-03,-6.63,9.51,9.51,-0.2
2016-11-04,1.89,1.89,1.89,-0.11
2016-11-07,-19.03,-19.03,-19.03,2.55
2016-11-08,5.07,5.07,5.07,-0.24
2016-11-09,6.45,6.45,5.49,-2.15
2016-11-10,-6.06,3.78,3.78,-6.77
2016-11-11,5.12,5.12,5.12,-0.64
2016-11-14,-12.27,-12.27,-12.27,-1.4
2016-11-15,1.78,1.78,1.78,0.21
2016-11-16,9.78,9.78,-6.91,1.6
2016-11-17,-6.76,0.65,0.65,-0.16
2016-11-18,9.94,9.94,9.94,0.18
2016-11-21,4.02,4.02,2.73,2.75
2016-11-22,2.73,-9.32,11.21,0.08
2016-11-23,-9.07,-3.67,-3.67,-0.35
2016-11-25,8.23,8.23,8.23,-0.28
2016-11-28,3.18,3.18,3.18,-0.48
2016-11-29,-10.9,-10.9,-10.9,0.58
2016-11-30,-5.0,-5.0,3.2,-0.51
2016-12-01,5.05,-9.54,-9.54,0.22
2016-12-02,13.52,13.52,13.52,3.59
2016-12-05,-1.12,-1.12,-1.12,-1.65
2016-12-06,-7.86,-7.86,-7.86,5.41
2016-12-07,-1.12,-1.12,-1.07,0.82
2016-12-08,2.48,-0.4,-0.4,-2.15
2016-12-09,-5.61,-5.61,-5.61,-0.36
2016-12-12,-4.84,-4.84,-4.84,-0.05
2016-12-13,-3.04,-3.04,-3.04,0.95
2016-12-14,10.67,10.67,6.46,-0.34
2016-12-15,-0.67,-1.06,-1.06,1.56
2016-12-16,5.89,5.89,5.89,-0.78
2016-12-19,-7.44,-7.44,-7.44,1.23
2016-12-20,-2.44,-2.44,-2.44,-0.33
2016-12-21,-4.68,-4.68,-1.31,1.38
2016-12-22,6.1,-0.55,-0.55,-0.92
2016-12-23,-4.85,-4.85,-4.85,0.01
2016-12-27,10.72,10.72,10.72,2.76
2016-12-28,-8.17,-8.17,2.56,-2.46
2016-12-29,6.85,-0.31,-0.31,-0.56
2016-12-30,0.71,0.71,0.71,-1.53
2017-01-03,-7.02,-7.02,-7.02,3.69
2017-01-04,9.38,9.38,0.39,1.92
2017-01-05,-11.14,-2.97,-2.97,2.4
2017-01-06,0.97,0.97,0.97,-0.74
2017-01-09,5.46,5.46,5.46,-0.12
2017-01-10,-2.65,-2.65,-2.65,-1.06
2017-01-11,-5.68,-5.68,-1.29,0.61
2017-01-12,-1.91,9.51,9.51,-1.32
2017-01-13,-4.91,-4.91,-4.91,4.52
2017-01-17,4.01,4.01,4.01,-0.81
2017-01-18,4.03,4.03,-1.06,0.37
2017-01-19,-0.45,2.86,2.86,5.15
2017-01-20,-10.87,-10.87,-10.87,0.19
2017-01-23,5.21,5.21,5.21,-1.21
2017-01-24,-0.57,-0.57,-0.57,2.72
2017-01-25,0.36,0.36,7.61,-0.59
2017-01-26,1.53,-9.83,-9.83,-0.56
2017-01-27,-8.3,-8.3,-8.3,3.49
2017-01-30,18.34,18.34,18.34,-1.23
2017-01-31,-7.3,-7.3,-7.3,-0.51
2017-02-01,0.54,0.54,1.34,0.07
2017-02-02,1.87,-1.55,-1.55,-1.58
2017-02-03,-8.64,-8.64,-8.64,1.05
2017-02-06,0.68,0.68,0.68,0.72
2017-02-07,0.79,0.79,0.79,3.03
2017-02-08,5.25,5.25,-10.22,0.74
2017-02-09,0.16,7.63,7.63,-0.6
2017-02-10,-4.07,-4.07,-4.07,0.68
2017-02-13,14.15,14.15,14.15,-1.62
2017-02-14,-11.2,-11.2,-11.2,-2.38
2017-02-15,-3.92,-3.92,-8.86,1.45
2017-02-16,5.92,9.81,9.81,-0.26
2017-02-17,-17.59,-17.59,-17.59,0.21
2017-02-21,7.8,7.8,7.8,0.38
2017-02-22,6.77,6.77,0.73,1.26
2017-02-23,8.53,-0.71,-0.71,-1.08
2017-02-24,-5.49,-5.49,-5.49,0.47
2017-02-27,0.24,0.24,0.24,0.16
2017-02-28,-6.85,-6.85,-6.85,-1.28
2017-03-01,8.33,8.33,2.3,0.52
2017-03-02,-7.08,-1.11,-1.11,-3.12
2017-03-03,3.57,3.57,3.57,-0.39
2017-03-06,8.5,8.5,8.5,2.8
2017-03-07,-14.2,-14.2,-14.2,-0.51
2017-03-08,1.85,1.85,-8.12,-1.11
2017-03-09,0.67,6.67,6.67,0.21
2017-03-10,-6.95,-6.95,-6.95,0.36
2017-03-13,4.8,4.8,4.8,2.63
2017-03-14,2.67,2.67,2.67,-0.33
2017-03-15,-9.65,-9.65,2.89,2.06
2017-03-16,7.0,-4.99,-4.99,-0.86
2017-03-17,3.66,3.66,3.66,0.72
2017-03-20,0.31,0.31,0.31,0.72
2017-03-21,1.93,1.93,1.93,-3.41
2017-03-22,1.47,1.47,-4.73,0.23
2017-03-23,-3.74,-2.25,-2.25,-0.81
2017-03-24,-4.43,-4.43,-4.43,0.18
2017-03-27,6.51,6.51,6.51,2.04
2017-03-28,5.38,5.38,5.38,1.11
2017-03-29,5.62,5.62,7.37,1.3
2017-03-30,-10.36,-8.29,-8.29,1.59
2017-03-31,4.27,4.27,4.27,-0.25
2017-04-03,2.34,2.34,2.34,-0.89
2017-04-04,-13.64,-13.64,-13.64,-1.42
2017-04-05,15.75,15.75,-1.57,-1.88
2017-04-06,-6.96,-7.42,-7.42,0.12
2017-04-07,13.99,13.99,13.99,-0.63
2017-04-10,-2.22,-2.22,-2.22,0.74
2017-04-11,3.49,3.49,-7.9,0.5
2017-04-12,3.16,5.14,5.14,-0.52
2017-04-13,-0.11,-0.11,-0.11,-0.91
2017-04-17,15.47,15.47,15.47,4.33
2017-04-18,-18.21,-18.21,-18.21,-3.89
2017-04-19,3.2,3.2,-6.28,-3.6
2017-04-20,-0.61,12.22,12.22,1.42
2017-04-21,-9.1,-9.1,-9.1,1.69
2017-04-24,-3.88,-3.88,-3.88,0.96
2017-04-25,1.49,1.49,1.49,8.33
2017-04-26,1.2,1.2,1.2,-1.99
2017-04-27,3.14,3.14,3.14,2.91
2017-04-28,-1.67,-1.67,-1.67,-0.88
